2093/01/01,2092/12/04,先負です
2093/01/02,2092/12/05,仏滅です
2093/01/03,2092/12/06,大安です
2093/01/04,2092/12/07,赤口です
2093/01/05,2092/12/08,先勝です
2093/01/06,2092/12/09,友引です
2093/01/07,2092/12/10,先負です
2093/01/08,2092/12/11,仏滅です
2093/01/09,2092/12/12,大安です
2093/01/10,2092/12/13,赤口です
2093/01/11,2092/12/14,先勝です
2093/01/12,2092/12/15,友引です
2093/01/13,2092/12/16,先負です
2093/01/14,2092/12/17,仏滅です
2093/01/15,2092/12/18,大安です
2093/01/16,2092/12/19,赤口です
2093/01/17,2092/12/20,先勝です
2093/01/18,2092/12/21,友引です
2093/01/19,2092/12/22,先負です
2093/01/20,2092/12/23,仏滅です
2093/01/21,2092/12/24,大安です
2093/01/22,2092/12/25,赤口です
2093/01/23,2092/12/26,先勝です
2093/01/24,2092/12/27,友引です
2093/01/25,2092/12/28,先負です
2093/01/26,2092/12/29,仏滅です
2093/01/27,2093/01/01,先勝です
2093/01/28,2093/01/02,友引です
2093/01/29,2093/01/03,先負です
2093/01/30,2093/01/04,仏滅です
2093/01/31,2093/01/05,大安です
2093/02/01,2093/01/06,赤口です
2093/02/02,2093/01/07,先勝です
2093/02/03,2093/01/08,友引です
2093/02/04,2093/01/09,先負です
2093/02/05,2093/01/10,仏滅です
2093/02/06,2093/01/11,大安です
2093/02/07,2093/01/12,赤口です
2093/02/08,2093/01/13,先勝です
2093/02/09,2093/01/14,友引です
2093/02/10,2093/01/15,先負です
2093/02/11,2093/01/16,仏滅です
2093/02/12,2093/01/17,大安です
2093/02/13,2093/01/18,赤口です
2093/02/14,2093/01/19,先勝です
2093/02/15,2093/01/20,友引です
2093/02/16,2093/01/21,先負です
2093/02/17,2093/01/22,仏滅です
2093/02/18,2093/01/23,大安です
2093/02/19,2093/01/24,赤口です
2093/02/20,2093/01/25,先勝です
2093/02/21,2093/01/26,友引です
2093/02/22,2093/01/27,先負です
2093/02/23,2093/01/28,仏滅です
2093/02/24,2093/01/29,大安です
2093/02/25,2093/01/30,赤口です
2093/02/26,2093/02/01,友引です
2093/02/27,2093/02/02,先負です
2093/02/28,2093/02/03,仏滅です
2093/03/01,2093/02/04,大安です
2093/03/02,2093/02/05,赤口です
2093/03/03,2093/02/06,先勝です
2093/03/04,2093/02/07,友引です
2093/03/05,2093/02/08,先負です
2093/03/06,2093/02/09,仏滅です
2093/03/07,2093/02/10,大安です
2093/03/08,2093/02/11,赤口です
2093/03/09,2093/02/12,先勝です
2093/03/10,2093/02/13,友引です
2093/03/11,2093/02/14,先負です
